Employee_ID,Mgr_Geo_Match,Mgr_Avg_SY,Mgr_Avg_SY_T,Mgr_Avg_SY_E,Mgr_Termination_Rate,Mgr_Title,Mgr_Geo_Match,Mgr_Avg_SY,Mgr_Avg_SY_T,Mgr_Avg_SY_E,Mgr_Termination_Rate,Mgr_Title
193852,1,1.771506849,0,1.771506849,0,Grade-M5,1,2.020273973,0.649315068,2.363013699,0.2,Grade-M5
193857,1,2.062465753,3.247945205,1.272146119,0.4,Grade-M5,1,1.868949772,3.247945205,1.179452055,0.333333333,Grade-M5
194063,1,1.127853881,0,1.127853881,0,Grade-M5,1,1.196868885,0,1.196868885,0,Grade-M5
194065,1,0.712876712,0.638356164,0.731506849,0.2,Grade-M5,1,0.912328767,0.638356164,0.980821918,0.2,Grade-M5
194069,1,0.226027397,0,0.226027397,0,Grade-M5,1,0.316894977,0,0.316894977,0,Grade-M5
194092,1,0.42283105,0.42283105,0,1,Grade-M5,1,0.42283105,0.42283105,0,1,Grade-M5
194096,0,0.360547945,0,0.360547945,0,Grade-M5,0,0.598356164,0.605479452,0.596575342,0.2,Grade-M5
194139,0,1.126027397,0,1.126027397,0,Grade-M8,0,1.375342466,0,1.375342466,0,Grade-M8
194141,1,0.757990868,0,0.757990868,0,Grade-M8,1,0.874363992,0,0.874363992,0,Grade-M8
194190,1,0.360547945,0,0.360547945,0,Grade-M5,1,0.598356164,0.605479452,0.596575342,0.2,Grade-M5
194199,0,0.48630137,0.642922374,0.329680365,0.5,Grade-M6,0,0.596803653,0.626712329,0.536986301,0.666666667,Grade-M6
194208,1,0.196347032,0.190410959,0.208219178,0.666666667,Grade-M8,1,0.252739726,0.190410959,0.315068493,0.5,Grade-M8
194226,0,0.636986301,0.589041096,0.646575342,0.166666667,Grade-M5,0,0.844748858,0.589041096,0.895890411,0.166666667,Grade-M5
194229,,0,0,0,0,,0,0,0,0,0,0
194230,0,0.383561644,0,0.383561644,0,Grade-M5,0,0.632876712,0,0.632876712,0,Grade-M5
194314,1,0.308219178,0.068493151,0.356164384,0.166666667,Grade-M5,1,0.439530333,0.356164384,0.472876712,0.285714286,Grade-M5
194331,1,2.380136986,0,2.380136986,0,Grade-M8,1,2.358599696,0,2.358599696,0,Grade-M8
194332,1,1.172994129,0,1.172994129,0,Grade-M8,1,1.244520548,0,1.244520548,0,Grade-M8
194333,1,1.1,0,1.1,0,Grade-M7,1,1.239726027,1.82739726,0.652054795,0.5,Grade-M7
194336,0,0.48630137,0.642922374,0.329680365,0.5,Grade-M6,0,0.596803653,0.626712329,0.536986301,0.666666667,Grade-M6
194338,1,0.656751468,0,0.656751468,0,Grade-M5,1,0.948858447,0,0.948858447,0,Grade-M5
194342,1,0.308219178,0.068493151,0.356164384,0.166666667,Grade-M5,1,0.439530333,0.356164384,0.472876712,0.285714286,Grade-M5
194343,1,0.308219178,0.068493151,0.356164384,0.166666667,Grade-M5,1,0.439530333,0.356164384,0.472876712,0.285714286,Grade-M5
194345,1,1.901369863,1.62739726,1.969863014,0.2,Grade-M11,1,1.767351598,1.965068493,1.668493151,0.333333333,Grade-M11
194346,1,0.41369863,0,0.41369863,0,Grade-M5,1,0.331506849,0,0.331506849,0,Grade-M5
194348,,0,0,0,0,,0,0,0,0,0,0
194349,1,0.308219178,0.068493151,0.356164384,0.166666667,Grade-M5,1,0.439530333,0.356164384,0.472876712,0.285714286,Grade-M5
194352,1,0.623287671,0,0.623287671,0,Grade-M5,1,0.604109589,0,0.604109589,0,Grade-M5
194353,1,0.308219178,0.068493151,0.356164384,0.166666667,Grade-M5,1,0.439530333,0.356164384,0.472876712,0.285714286,Grade-M5
194355,1,0.384474886,0,0.384474886,0,Grade-M5,1,0.639726027,0,0.639726027,0,Grade-M5
194374,1,0.41369863,0,0.41369863,0,Grade-M5,1,0.304109589,0,0.304109589,0,Grade-M5
194378,1,0.615753425,0,0.615753425,0,Grade-M8,1,0.864383562,0.569863014,0.962557078,0.25,Grade-M8
194382,1,0.402739726,0,0.402739726,0,Grade-M5,1,0.652054795,0,0.652054795,0,Grade-M5
194383,1,0.383561644,0,0.383561644,0,Grade-M5,1,0.316438356,0,0.316438356,0,Grade-M5
194384,1,0.383561644,0,0.383561644,0,Grade-M8,1,0.632876712,0,0.632876712,0,Grade-M8
194421,0,0.342922374,0,0.342922374,0,Grade-M8,0,0.465753425,0.495890411,0.461448141,0.125,Grade-M8
194423,1,0.432876712,0,0.432876712,0,Grade-M5,1,0.682191781,0,0.682191781,0,Grade-M5
194426,1,1.21369863,0,1.21369863,0,Grade-M5,1,1.462100457,3.104109589,0.64109589,0.333333333,Grade-M5
194432,1,0.846575342,0,0.846575342,0,Grade-M5,1,0.382191781,0,0.382191781,0,Grade-M5
194451,1,1.169178082,1.980821918,0.898630137,0.25,Grade-M11,1,0.763992172,1.549771689,0.174657534,0.428571429,Grade-M11
194484,,0,0,0,0,,0,0,0,0,0,0
194487,1,0.421917808,0,0.421917808,0,Grade-M6,1,0.671232877,0,0.671232877,0,Grade-M6
194491,1,0.196347032,0.190410959,0.208219178,0.666666667,Grade-M8,1,0.252739726,0.190410959,0.315068493,0.5,Grade-M8
194625,1,0.868493151,0,0.868493151,0,Grade-M8,1,1.117808219,0,1.117808219,0,Grade-M8
194627,0,0.342922374,0,0.342922374,0,Grade-M8,0,0.465753425,0.495890411,0.461448141,0.125,Grade-M8
194672,1,0.383561644,0,0.383561644,0,Grade-M8,1,0.632876712,0,0.632876712,0,Grade-M8
194696,1,0.838356164,0,0.838356164,0,Grade-M5,1,1.087671233,0,1.087671233,0,Grade-M5
